paper_id,paper_year,paper_title,claude_formula,claude_tc,claude_pressure_class,claude_pressure_gpa,claude_family,sclib_formula,sclib_tc,sclib_pressure_class,sclib_pressure_gpa,sclib_family,formula_similarity,formula_match,tc_delta,tc_match,pressure_class_match,family_match,notes
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",Ru(1-x)Sr2GdCu(2+x)O(8-d),72.0,ambient,0.0,cuprate,Ru(0.7)Sr2GdCu(2.3)O(8-d),72.0,ambient,0.0,cuprate,0.8,True,0.0,True,True,True,
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",Ru(1-x)Sr2EuCu(2+x)O(8-d),72.0,ambient,0.0,cuprate,Ru(0.7)Sr2EuCu(2.3)O(8-d),72.0,ambient,0.0,cuprate,0.8,True,0.0,True,True,True,
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",RuSr2Gd(1-y)Ce(y)Cu2O8,,ambient,0.0,cuprate,Ru(0.7)Sr2GdCu(2.3)O(8-d),72.0,ambient,0.0,cuprate,0.5106,False,,False,True,True,formula similarity 0.51 below threshold; tc disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.6Ti0.4,7.7,ambient,0.0,,V0.6Ti0.4,7.7,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.55Si0.05Ti0.4,7.7,ambient,0.0,,V0.55Si0.05Ti0.4,7.7,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.5Si0.1Ti0.4,7.7,ambient,0.0,,V0.5Si0.1Ti0.4,7.7,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.45Si0.15Ti0.4,7.7,ambient,0.0,,V0.45Si0.15Ti0.4,7.7,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:cond-mat/0311245,2003,The internal magnetic field in superconducting ferromagnets,Ru-1222,,ambient,0.0,,Gd1.5Ce0.5Ru2Sr2Cu2O10,28.0,ambient,0.0,cuprate,0.2069,False,,False,True,False,formula similarity 0.21 below threshold; tc disagreement; family disagreement
arxiv:cond-mat/9801244,1998,Low temperature penetration depth and the effect of quasi-particle scattering measured by millimeter wave transmission in YBaCuO thin films,YBaCuO,,ambient,0.0,cuprate,YBCO,92.0,ambient,0.0,,0.8,True,,False,True,False,tc disagreement; family disagreement
arxiv:cond-mat/9801244,1998,Low temperature penetration depth and the effect of quasi-particle scattering measured by millimeter wave transmission in YBaCuO thin films,YBaCuO,,ambient,0.0,cuprate,YBCO,92.0,ambient,0.0,,0.8,True,,False,True,False,tc disagreement; family disagreement
arxiv:cond-mat/9801244,1998,Low temperature penetration depth and the effect of quasi-particle scattering measured by millimeter wave transmission in YBaCuO thin films,YBaCuO,,ambient,0.0,cuprate,YBCO,92.0,ambient,0.0,,0.8,True,,False,True,False,tc disagreement; family disagreement
arxiv:1606.00727,2016,Orbital selective spin excitations and their impact on superconductivity of LiFe1-xCoxAs,LiFe0.88Co0.12As,,ambient,0.0,iron_based,LiFe0.88Co0.12As,4.0,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1906.05397,2019,High-T$_c$ superconductivity in H$_3$S: Pressure effects on superconducting critical temperature and Cooper-Pairs Distribution Function,H3S,,high_pressure,155.0,,H3S,203.0,high_pressure,155.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1906.05397,2019,High-T$_c$ superconductivity in H$_3$S: Pressure effects on superconducting critical temperature and Cooper-Pairs Distribution Function,H3S,,high_pressure,190.0,,H3S,203.0,high_pressure,155.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1906.05397,2019,High-T$_c$ superconductivity in H$_3$S: Pressure effects on superconducting critical temperature and Cooper-Pairs Distribution Function,H3S,,high_pressure,225.0,,H3S,203.0,high_pressure,155.0,,1.0,True,,False,True,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Nb,,ambient,0.0,,Nb,9.24,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Pb,,ambient,0.0,conventional,Pb,7.1,ambient,0.0,conventional,1.0,True,,False,True,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Ta,,ambient,0.0,,Ta,4.42,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1304.2689,2013,Upper critical field of high quality single crystals of KFe$_2$As$_2$,KFe2As2,3.8,ambient,0.0,iron_based,KFe2As2,3.8,unknown,,iron_based,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:cond-mat/0201101,2002,The Average Kinetic Energy of the Superconducting State,Nb,8.5,ambient,0.0,,Nb,8.5,ambient,0.0,,1.0,True,0.0,True,True,True,
arxiv:1406.0734,2014,"First single crystal growth and structural analysis of superconducting layered bismuth oxyselenide; La(O,F)BiSe2","La(O,F)BiSe2",3.6,ambient,0.0,,"La(O,F)BiSe2",3.6,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1406.0734,2014,"First single crystal growth and structural analysis of superconducting layered bismuth oxyselenide; La(O,F)BiSe2","La(O,F)BiSe2",3.6,ambient,0.0,,"La(O,F)BiSe2",3.6,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1412.0068,2014,The Higgs Mode in Disordered Superconductors Close to a Quantum Phase Transition,NbN,,ambient,0.0,,NbN,9.5,unknown,,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1412.0068,2014,The Higgs Mode in Disordered Superconductors Close to a Quantum Phase Transition,InO,,ambient,0.0,,InO,,unknown,,,1.0,True,,True,False,True,pressure class disagreement
arxiv:1107.3774,2011,Scanning tunneling spectroscopy study of c-axis proximity effect in epitaxial bilayer manganite/cuprate thin films,YBa2Cu3O7-δ,,ambient,0.0,cuprate,YBa2Cu3O7-δ,84.0,unknown,,cuprate,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:0812.4907,2008,Superconducting properties of the oxygen-vacant iron oxyarsenide TbFeAsO1-x from underdoped to overdoped compositions,TbFeAsO1-x,44.0,unknown,,iron_based,TbFeAsO1-x,44.0,unknown,,iron_based,1.0,True,0.0,True,True,True,
arxiv:1604.00665,2016,Two Superconducting Transitions in Single Crystal La$_{2-x}$Ba$_x$CuO$_4$,La_{2-x}Ba_xCuO_4,36.0,ambient,0.0,cuprate,La1.88Ba0.12CuO4,36.0,unknown,,cuprate,0.4848,False,0.0,True,False,True,formula similarity 0.48 below threshold; pressure class disagreement
arxiv:1604.00665,2016,Two Superconducting Transitions in Single Crystal La$_{2-x}$Ba$_x$CuO$_4$,La_{2-x}Ba_xCuO_4,,ambient,0.0,cuprate,La1.88Ba0.12CuO4,36.0,unknown,,cuprate,0.4848,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1308.3105,2013,The unique electronic structure of Ca10(Pt4As8)(Fe2-xPtxAs2)5 with metallic Pt4As8 layers,Ca10(Pt4As8)(Fe2-xPtxAs2)5,22.0,ambient,0.0,iron_based,Ca10(Pt4As8)(Fe2-xPtxAs2)5,22.0,unknown,,iron_based,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1811.05045,2018,Evidence for unconventional superconductivity in Half-Heusler YPdBi and TbPdBi compounds revealed by London penetration depth measurements,YPdBi,1.0,ambient,0.0,,YPdBi,1.3,unknown,,,1.0,True,0.3,True,False,True,pressure class disagreement
arxiv:1811.05045,2018,Evidence for unconventional superconductivity in Half-Heusler YPdBi and TbPdBi compounds revealed by London penetration depth measurements,TbPdBi,1.75,ambient,0.0,,TbPdBi,1.75,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,EuSr2Bi2S2Se2F4,2.9,ambient,0.0,,EuSr2Bi2S2Se2F4,2.9,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,EuSr2Bi2S2Se2F4,2.3,ambient,0.0,,EuSr2Bi2S2Se2F4,2.9,unknown,,,1.0,True,0.6,True,False,True,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,Eu2SrBi2S2.5Se1.5F4,2.6,ambient,0.0,,Eu2SrBi2S2.5Se1.5F4,2.6,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,Eu2SrBi2S2Se2F4,2.75,ambient,0.0,,Eu2SrBi2S2Se2F4,2.75,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:cond-mat/0601659,2006,59Co Nuclear Quadrupole Resonance Studies of Superconducting and Non-superconducting Bilayer Water Intercalated Sodium Cobalt Oxides NaxCoO2.yH2O,NaxCoO2.yH2O,4.6,ambient,0.0,,NaxCoO2.yH2O,2.0,unknown,,,1.0,True,-2.6,True,False,True,pressure class disagreement
arxiv:1207.6571,2012,Evidence for a cos(4\varphi) Modulation of the Superconducting Energy Gap of Optimally Doped FeTe_{0.6}Se_{0.4} Single Crystals Using Laser Angle-Resolved Photoemission Spectroscopy,FeTe0.6Se0.4,14.5,ambient,0.0,iron_based,FeTe0.6Se0.4,14.5,unknown,,iron_based,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:cond-mat/0703279,2007,Strong electron-phonon coupling in the rare-earth carbide superconductor La2C3,La2C3,13.4,ambient,0.0,,La2C3,13.4,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:cond-mat/0703279,2007,Strong electron-phonon coupling in the rare-earth carbide superconductor La2C3,La2C3,13.4,ambient,0.0,,La2C3,13.4,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:0912.4134,2009,Dispersive Spin Fluctuations in the near optimally-doped superconductor Ba(Fe1-xCox)2As2 ($x$=0.065),Ba(Fe1-xCox)2As2,,ambient,0.0,iron_based,Ba(Fe0.935Co0.065)2As2,23.0,unknown,,iron_based,0.6316,False,,False,False,True,formula similarity 0.63 below threshold; tc disagreement; pressure class disagreement
arxiv:1208.0059,2012,Odd-Parity Pairing and Topological Superconductivity in a Strongly Spin-Orbit Coupled Semiconductor,Cu_xBi_2Se_3,,ambient,0.0,,Sn1-xInxTe,1.2,unknown,,,0.2727,False,,False,False,True,formula similarity 0.27 below threshold; tc disagreement; pressure class disagreement
arxiv:1208.0059,2012,Odd-Parity Pairing and Topological Superconductivity in a Strongly Spin-Orbit Coupled Semiconductor,Sn_{1-x}In_{x}Te,,ambient,0.0,,Sn1-xInxTe,1.2,unknown,,,0.7692,False,,False,False,True,formula similarity 0.77 below threshold; tc disagreement; pressure class disagreement
arxiv:1101.3150,2011,Upper critical field of the 122-type iron pnictide superconductors,"(Sr,Na)Fe2As2",,ambient,0.0,iron_based,"(Sr,Na)Fe2As2",27.6,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1101.3150,2011,Upper critical field of the 122-type iron pnictide superconductors,Ba0.55K0.45Fe2As2,,ambient,0.0,iron_based,Ba0.55K0.45Fe2As2,36.8,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:2512.15667,2025,"Pressure-Induced Changes in Structure, Magnetic Order and Development of Superconductivity in the Ferromagnetic Topological Insulator MnBi8Te13",MnBi8Te13,6.8,high_pressure,16.6,,MnBi8Te13,6.8,high_pressure,16.6,,1.0,True,0.0,True,True,True,
arxiv:2512.15667,2025,"Pressure-Induced Changes in Structure, Magnetic Order and Development of Superconductivity in the Ferromagnetic Topological Insulator MnBi8Te13",MnBi8Te13,6.8,high_pressure,16.6,,MnBi8Te13,6.8,high_pressure,16.6,,1.0,True,0.0,True,True,True,
arxiv:1109.4097,2011,Intermittent Josephson effect with feedback voltage and temperature oscillations in graphite-coated nanocapsules with superconducting TaC core,TaC,2.0,ambient,0.0,,TaC,10.2,unknown,,,1.0,True,8.2,True,False,True,pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.9Sm0.1O0.5F0.5BiS2,,ambient,0.0,,La0.9Sm0.1O0.5F0.5BiS2,2.7,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.7Sm0.3O0.5F0.5BiS2,,ambient,0.0,,La0.7Sm0.3O0.5F0.5BiS2,3.5,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.4Sm0.6O0.5F0.5BiS2,,ambient,0.0,,La0.4Sm0.6O0.5F0.5BiS2,4.5,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.2Sm0.8O0.5F0.5BiS2,,ambient,0.0,,La0.2Sm0.8O0.5F0.5BiS2,5.4,ambient,0.0,,1.0,True,,False,True,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.9Sm0.1O0.5F0.5BiS2,,high_pressure,2.6,,La0.9Sm0.1O0.5F0.5BiS2,2.7,ambient,0.0,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.7Sm0.3O0.5F0.5BiS2,,high_pressure,2.6,,La0.7Sm0.3O0.5F0.5BiS2,3.5,ambient,0.0,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.4Sm0.6O0.5F0.5BiS2,,high_pressure,2.6,,La0.4Sm0.6O0.5F0.5BiS2,4.5,ambient,0.0,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.2Sm0.8O0.5F0.5BiS2,,high_pressure,2.6,,La0.2Sm0.8O0.5F0.5BiS2,5.4,ambient,0.0,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,SmO0.5F0.5BiS2,,unknown,,,SmO0.5F0.5BiS2,0.27,unknown,,,1.0,True,,False,True,True,tc disagreement
arxiv:0812.2091,2008,Evidence for Coexistence of Superconductivity and Magnetism in Single Crystals of Co-doped SrFe$_2$As$_2$,SrFe₁.₆Co₀.₄As₂,19.5,ambient,0.0,iron_based,SrFe1.6Co0.4As2,19.5,ambient,0.0,iron_based,0.6667,False,0.0,True,True,True,formula similarity 0.67 below threshold
arxiv:0812.2091,2008,Evidence for Coexistence of Superconductivity and Magnetism in Single Crystals of Co-doped SrFe$_2$As$_2$,SrFe₁.₆Co₀.₄As₂,19.5,ambient,0.0,iron_based,SrFe1.6Co0.4As2,19.5,ambient,0.0,iron_based,0.6667,False,0.0,True,True,True,formula similarity 0.67 below threshold
arxiv:2105.06028,2021,"Metal-insulator-like transition, superconducting dome and topological electronic structure in Ga-doped Re$_{3}$Ge$_{7}$",Re3Ge6.75Ga0.25,3.37,ambient,0.0,,Re3Ge7-xGax,1.81,unknown,,,0.6154,False,-1.56,True,False,True,formula similarity 0.62 below threshold; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",LaOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",LaOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",LaOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",CeOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",CeOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",CeOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",PrOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",PrOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",NdOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",NdOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.4762,False,,False,False,True,formula similarity 0.48 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.6667,False,,False,False,True,formula similarity 0.67 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.6667,False,,False,False,True,formula similarity 0.67 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbOBiS2,,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,0.6667,False,,False,False,True,formula similarity 0.67 below threshold; tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbO0.5F0.5BiS2,5.4,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbO0.5F0.5BiS2,5.4,ambient,0.0,,YbO0.5F0.5BiS2,5.4,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1810.10822,2018,Evidence for a preformed Cooper pair model in the pseudogap spectra of a Ca10(Pt4As8)(Fe2As2)5 single crystal with a nodal superconducting gap,Ca10(Pt4As8)(Fe2As2)5,34.6,ambient,0.0,iron_based,Ca10(Pt4As8)(Fe2As2)5,34.6,unknown,,iron_based,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:1602.08060,2016,High-resolution magnetic penetration depth and inhomogeneities in locally noncentrosymmetric SrPtAs,SrPtAs,,ambient,0.0,,SrPtAs,2.45,unknown,,,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:0907.4735,2009,Temperature dependence of resistivity and Hall-coefficient in a strongly disordered metal: NbN,NbN,8.13,ambient,0.0,,NbN,8.13,unknown,,,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:0907.4735,2009,Temperature dependence of resistivity and Hall-coefficient in a strongly disordered metal: NbN,NbN,16.8,ambient,0.0,,NbN,8.13,unknown,,,1.0,True,-8.67,True,False,True,pressure class disagreement
arxiv:1904.03951,2019,"YBa2Cu3O7/LaXMnO3 (X: Ca, Sr) based Superconductor/Ferromagnet/Superconductor junctions with memory functionality",YBa2Cu3O7,,ambient,0.0,cuprate,YBa2Cu3O7,90.0,unknown,,cuprate,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1409.3982,2014,Coexistence of 3d-ferromagnetism and superconductivity in [(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,[(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,43.0,ambient,0.0,iron_based,(Li1-xFex)OH(Fe1-yLiy)Se,43.0,unknown,,iron_based,0.8889,True,0.0,True,False,True,pressure class disagreement
arxiv:1409.3982,2014,Coexistence of 3d-ferromagnetism and superconductivity in [(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,[(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,43.0,ambient,0.0,iron_based,(Li1-xFex)OH(Fe1-yLiy)Se,43.0,unknown,,iron_based,0.8889,True,0.0,True,False,True,pressure class disagreement
