paper_id,paper_year,paper_title,claude_formula,claude_tc,claude_pressure_class,claude_pressure_gpa,claude_evidence_type,sclib_formula,sclib_tc,sclib_pressure_class,sclib_pressure_gpa,sclib_evidence_type,formula_similarity,formula_match,tc_delta,tc_match,pressure_class_match,notes
arxiv:0903.0323,2009,Superconductivity induced by doping Pd in SrFe2-xPdxAs2,SrFe2-xPdxAs2,8.7,ambient,,primary,SrFe2-xPdxAs2,8.7,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:cond-mat/9910087,1999,"A study of the superconducting gap in RNi$_2$B$_2$C (R = Y, Lu) single crystals by inelastic light scattering",YNi2B2C,,ambient,,primary,YNi2B2C,15.5,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/9910087,1999,"A study of the superconducting gap in RNi$_2$B$_2$C (R = Y, Lu) single crystals by inelastic light scattering",LuNi2B2C,,ambient,,primary,LuNi2B2C,15.82,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/9910056,1999,Absence of a Bulk Meissner State in RuSr2GdCu2O8,RuSr2GdCu2O8,,ambient,,primary,RuSr2GdCu2O8,30.0,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",Ru(1-x)Sr2GdCu(2+x)O(8-d),72.0,ambient,,primary,Ru(0.7)Sr2GdCu(2.3)O(8-d),72.0,ambient,0.0,,0.8,True,0.0,True,True,
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",Ru(1-x)Sr2EuCu(2+x)O(8-d),72.0,ambient,,primary,Ru(0.7)Sr2EuCu(2.3)O(8-d),72.0,ambient,0.0,,0.8,True,0.0,True,True,
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",RuSr2Gd(1-y)Ce(y)Cu2O8,,ambient,,primary,Ru(0.7)Sr2GdCu(2.3)O(8-d),72.0,ambient,0.0,,0.5106,False,,False,True,formula similarity 0.51 below threshold; tc disagreement
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",RuSr2GdCu2O8,,ambient,,primary,Ru(0.7)Sr2GdCu(2.3)O(8-d),72.0,ambient,0.0,,0.6486,False,,False,True,formula similarity 0.65 below threshold; tc disagreement
arxiv:cond-mat/0209668,2002,"Magnetism and superconductivity in Ru(1-x)Sr2RECu(2+x)O(8-d) (RE=Gd, Eu) and RuSr2Gd(1-y)Ce(y)Cu2O8 compounds",RuSr2EuCu2O8,,ambient,,primary,Ru(0.7)Sr2EuCu(2.3)O(8-d),72.0,ambient,0.0,,0.6486,False,,False,True,formula similarity 0.65 below threshold; tc disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.60Ti0.40,7.7,ambient,,primary,V0.6Ti0.4,7.7,unknown,,primary,0.9,True,0.0,True,False,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.55Si0.05Ti0.40,7.7,ambient,,primary,V0.55Si0.05Ti0.4,7.7,unknown,,primary,0.9697,True,0.0,True,False,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.50Si0.10Ti0.40,7.7,ambient,,primary,V0.5Si0.1Ti0.4,7.7,unknown,,primary,0.9032,True,0.0,True,False,pressure class disagreement
arxiv:2307.16623,2023,Structural and Magnetic Properties of V-Ti-Si Alloy Superconductors,V0.45Si0.15Ti0.40,7.7,ambient,,primary,V0.45Si0.15Ti0.4,7.7,unknown,,primary,0.9697,True,0.0,True,False,pressure class disagreement
arxiv:cond-mat/0311245,2003,The internal magnetic field in superconducting ferromagnets,Ru-1222,,ambient,,primary,Gd1.5Ce0.5Ru2Sr2Cu2O10,28.0,ambient,0.0,,0.2069,False,,False,True,formula similarity 0.21 below threshold; tc disagreement
arxiv:cond-mat/9801244,1998,Low temperature penetration depth and the effect of quasi-particle scattering measured by millimeter wave transmission in YBaCuO thin films,YBaCuO,,ambient,,primary,YBCO,92.0,ambient,0.0,,0.8,True,,False,True,tc disagreement
arxiv:1606.00727,2016,Orbital selective spin excitations and their impact on superconductivity of LiFe1-xCoxAs,LiFe0.88Co0.12As,,ambient,,primary,LiFe0.88Co0.12As,4.0,unknown,,cited,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1606.00727,2016,Orbital selective spin excitations and their impact on superconductivity of LiFe1-xCoxAs,LiFe1-xCoxAs,,ambient,,primary,LiFeAs,18.0,unknown,,cited,0.6667,False,,False,False,formula similarity 0.67 below threshold; tc disagreement; pressure class disagreement
arxiv:1906.05397,2019,High-T$_c$ superconductivity in H$_3$S: Pressure effects on superconducting critical temperature and Cooper-Pairs Distribution Function,H3S,,high_pressure,190.0,primary,H3S,203.0,high_pressure,155.0,cited,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Nb,,ambient,,primary,Nb,9.24,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Pb,,ambient,,primary,Pb,7.1,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:cond-mat/0504626,2005,Observation of non-exponential magnetic penetration profiles in the Meissner state - A manifestation of non-local effects in superconductors,Ta,,ambient,,primary,Ta,4.42,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:1304.2689,2013,Upper critical field of high quality single crystals of KFe$_2$As$_2$,KFe2As2,3.8,ambient,,primary,KFe2As2,3.8,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:cond-mat/0201101,2002,The Average Kinetic Energy of the Superconducting State,Nb,8.5,ambient,,primary,Nb,8.5,ambient,0.0,,1.0,True,0.0,True,True,
arxiv:1406.0734,2014,"First single crystal growth and structural analysis of superconducting layered bismuth oxyselenide; La(O,F)BiSe2","La(O,F)BiSe2",3.6,ambient,,primary,"La(O,F)BiSe2",3.6,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1406.0734,2014,"First single crystal growth and structural analysis of superconducting layered bismuth oxyselenide; La(O,F)BiSe2","La(O,F)BiS2",,ambient,,cited,"La(O,F)BiSe2",3.6,unknown,,primary,0.9565,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1412.0068,2014,The Higgs Mode in Disordered Superconductors Close to a Quantum Phase Transition,NbN,,ambient,,primary,NbN,9.5,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1412.0068,2014,The Higgs Mode in Disordered Superconductors Close to a Quantum Phase Transition,InO,,ambient,,primary,InO,,unknown,,primary,1.0,True,,True,False,pressure class disagreement
arxiv:1202.1908,2012,"13C NMR study of superconductivity near charge instability realized in beta""-(BEDT-TTF)4[(H3O)Ga(C2O4)3]C6H5NO2","beta""-(BEDT-TTF)4[(H3O)Ga(C2O4)3]C6H5NO2",,ambient,,primary,"beta""-(BEDT-TTF)4[(H3O)Ga(C2O4)3]C6H5NO2",,unknown,,primary,1.0,True,,True,False,pressure class disagreement
arxiv:1107.3774,2011,Scanning tunneling spectroscopy study of c-axis proximity effect in epitaxial bilayer manganite/cuprate thin films,YBa2Cu3O7-d,,ambient,,primary,YBa2Cu3O7-δ,84.0,unknown,,primary,0.9091,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0812.4907,2008,Superconducting properties of the oxygen-vacant iron oxyarsenide TbFeAsO1-x from underdoped to overdoped compositions,TbFeAsO1-x,44.0,high_pressure,,primary,TbFeAsO1-x,44.0,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1210.1820,2012,The characterization of high-pressure superconducting state in Si2H6 compound: the strong-coupling description,Si2H6,173.36,high_pressure,275.0,theoretical,Si2H6,173.36,high_pressure,275.0,primary,1.0,True,0.0,True,True,
arxiv:1604.00665,2016,Two Superconducting Transitions in Single Crystal La$_{2-x}$Ba$_x$CuO$_4$,La2-xBaxCuO4,36.0,ambient,,primary,La1.88Ba0.12CuO4,36.0,unknown,,primary,0.5714,False,0.0,True,False,formula similarity 0.57 below threshold; pressure class disagreement
arxiv:1308.3105,2013,The unique electronic structure of Ca10(Pt4As8)(Fe2-xPtxAs2)5 with metallic Pt4As8 layers,Ca10(Pt4As8)(Fe2-xPtxAs2)5,22.0,ambient,,primary,Ca10(Pt4As8)(Fe2-xPtxAs2)5,22.0,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1811.05045,2018,Evidence for unconventional superconductivity in Half-Heusler YPdBi and TbPdBi compounds revealed by London penetration depth measurements,YPdBi,1.0,ambient,,primary,YPdBi,1.3,unknown,,primary,1.0,True,0.3,True,False,pressure class disagreement
arxiv:1811.05045,2018,Evidence for unconventional superconductivity in Half-Heusler YPdBi and TbPdBi compounds revealed by London penetration depth measurements,TbPdBi,1.75,ambient,,primary,TbPdBi,1.75,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,EuSr2Bi2S2Se2F4,2.9,ambient,,primary,EuSr2Bi2S2Se2F4,2.9,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,Eu2SrBi2S2.5Se1.5F4,2.6,ambient,,primary,Eu2SrBi2S2.5Se1.5F4,2.6,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1612.03415,2016,Superconductivity in Se-doped new materials EuSr2Bi2S4F4 and Eu2SrBi2S4F4,Eu2SrBi2S2Se2F4,2.75,ambient,,primary,Eu2SrBi2S2Se2F4,2.75,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1705.05568,2017,Raman study of electron-phonon coupling in thin films of LiTi$_2$O$_4$ spinel oxide superconductor,LiTi2O4,,ambient,,primary,LiTi2O4,11.3,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:cond-mat/0601659,2006,59Co Nuclear Quadrupole Resonance Studies of Superconducting and Non-superconducting Bilayer Water Intercalated Sodium Cobalt Oxides NaxCoO2.yH2O,NaxCoO2.yH2O,4.6,ambient,,primary,NaxCoO2.yH2O,2.0,unknown,,primary,1.0,True,-2.6,True,False,pressure class disagreement
arxiv:1207.6571,2012,Evidence for a cos(4\varphi) Modulation of the Superconducting Energy Gap of Optimally Doped FeTe_{0.6}Se_{0.4} Single Crystals Using Laser Angle-Resolved Photoemission Spectroscopy,FeTe0.6Se0.4,14.5,ambient,,primary,FeTe0.6Se0.4,14.5,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:cond-mat/0703279,2007,Strong electron-phonon coupling in the rare-earth carbide superconductor La2C3,La2C3,13.4,ambient,,primary,La2C3,13.4,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:0912.4134,2009,Dispersive Spin Fluctuations in the near optimally-doped superconductor Ba(Fe1-xCox)2As2 ($x$=0.065),Ba(Fe1-xCox)2As2,,ambient,,primary,Ba(Fe0.935Co0.065)2As2,23.0,unknown,,primary,0.6316,False,,False,False,formula similarity 0.63 below threshold; tc disagreement; pressure class disagreement
arxiv:1208.0059,2012,Odd-Parity Pairing and Topological Superconductivity in a Strongly Spin-Orbit Coupled Semiconductor,Sn_{1-x}In_{x}Te,,ambient,,primary,Sn1-xInxTe,1.2,unknown,,primary,0.7692,False,,False,False,formula similarity 0.77 below threshold; tc disagreement; pressure class disagreement
arxiv:1208.0059,2012,Odd-Parity Pairing and Topological Superconductivity in a Strongly Spin-Orbit Coupled Semiconductor,CuxBi2Se3,,ambient,,cited,Sn1-xInxTe,1.2,unknown,,primary,0.3158,False,,False,False,formula similarity 0.32 below threshold; tc disagreement; pressure class disagreement
arxiv:1009.6035,2010,Mobility analysis of FeTe thin films,FeTe,,unknown,,primary,FeTe,11.0,unknown,,primary,1.0,True,,False,True,tc disagreement
arxiv:1101.3150,2011,Upper critical field of the 122-type iron pnictide superconductors,"(Sr,Na)Fe2As2",,ambient,,primary,"(Sr,Na)Fe2As2",27.6,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1101.3150,2011,Upper critical field of the 122-type iron pnictide superconductors,Ba0.55K0.45Fe2As2,,ambient,,primary,Ba0.55K0.45Fe2As2,36.8,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:2512.15667,2025,"Pressure-Induced Changes in Structure, Magnetic Order and Development of Superconductivity in the Ferromagnetic Topological Insulator MnBi8Te13",MnBi8Te13,6.8,high_pressure,16.6,primary,MnBi8Te13,6.8,high_pressure,16.6,primary,1.0,True,0.0,True,True,
arxiv:2512.15667,2025,"Pressure-Induced Changes in Structure, Magnetic Order and Development of Superconductivity in the Ferromagnetic Topological Insulator MnBi8Te13",MnBi6Te10,,high_pressure,40.0,primary,MnBi8Te13,6.8,high_pressure,16.6,primary,0.7778,False,,False,True,formula similarity 0.78 below threshold; tc disagreement
arxiv:cond-mat/9710188,1997,Intrinsic surface depression of the order parameter under mixed (s+id)-wave pair symmetry and its effect on the critical current of high-Tc SIS Josephson junctions,YBCO,,ambient,,cited,YBCO,85.0,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:1109.4097,2011,Intermittent Josephson effect with feedback voltage and temperature oscillations in graphite-coated nanocapsules with superconducting TaC core,TaC,2.0,ambient,,primary,TaC,10.2,unknown,,primary,1.0,True,8.2,True,False,pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.9Sm0.1O0.5F0.5BiS2,,ambient,0.0,primary,La0.9Sm0.1O0.5F0.5BiS2,2.7,ambient,0.0,cited,1.0,True,,False,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.9Sm0.1O0.5F0.5BiS2,,high_pressure,,primary,La0.9Sm0.1O0.5F0.5BiS2,2.7,ambient,0.0,cited,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.7Sm0.3O0.5F0.5BiS2,,ambient,0.0,primary,La0.7Sm0.3O0.5F0.5BiS2,3.5,ambient,0.0,primary,1.0,True,,False,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.7Sm0.3O0.5F0.5BiS2,,high_pressure,,primary,La0.7Sm0.3O0.5F0.5BiS2,3.5,ambient,0.0,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.4Sm0.6O0.5F0.5BiS2,,ambient,0.0,primary,La0.4Sm0.6O0.5F0.5BiS2,4.5,ambient,0.0,primary,1.0,True,,False,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.4Sm0.6O0.5F0.5BiS2,,high_pressure,,primary,La0.4Sm0.6O0.5F0.5BiS2,4.5,ambient,0.0,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.2Sm0.8O0.5F0.5BiS2,,ambient,0.0,primary,La0.2Sm0.8O0.5F0.5BiS2,5.4,ambient,0.0,cited,1.0,True,,False,True,tc disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La0.2Sm0.8O0.5F0.5BiS2,,high_pressure,,primary,La0.2Sm0.8O0.5F0.5BiS2,5.4,ambient,0.0,cited,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1507.03172,2015,Pressure-Induced Phase Transition in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,SmO0.5F0.5BiS2,,high_pressure,,theoretical,SmO0.5F0.5BiS2,0.27,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0812.2091,2008,Evidence for Coexistence of Superconductivity and Magnetism in Single Crystals of Co-doped SrFe$_2$As$_2$,SrFe1.6Co0.4As2,19.5,ambient,,primary,SrFe1.6Co0.4As2,19.5,ambient,0.0,primary,1.0,True,0.0,True,True,
arxiv:2105.06028,2021,"Metal-insulator-like transition, superconducting dome and topological electronic structure in Ga-doped Re$_{3}$Ge$_{7}$",Re3Ge7,,ambient,,primary,Re3Ge7-xGax,1.81,unknown,,primary,0.7059,False,,False,False,formula similarity 0.71 below threshold; tc disagreement; pressure class disagreement
arxiv:2105.06028,2021,"Metal-insulator-like transition, superconducting dome and topological electronic structure in Ga-doped Re$_{3}$Ge$_{7}$",Re3Ge7-xGax,3.37,ambient,,primary,Re3Ge7-xGax,1.81,unknown,,primary,1.0,True,-1.56,True,False,pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",LaO0.5F0.5BiS2,,ambient,,primary,YbO0.5F0.5BiS2,5.4,unknown,,primary,0.8571,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",CeO0.5F0.5BiS2,,ambient,,primary,YbO0.5F0.5BiS2,5.4,unknown,,primary,0.8571,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",PrO0.5F0.5BiS2,,ambient,,primary,YbO0.5F0.5BiS2,5.4,unknown,,primary,0.8571,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",NdO0.5F0.5BiS2,,ambient,,primary,YbO0.5F0.5BiS2,5.4,unknown,,primary,0.8571,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1301.3932,2013,"Superconductivity of F-substituted LnOBiS2 (Ln = La, Ce, Pr, Nd, Yb) compounds",YbO0.5F0.5BiS2,5.4,ambient,,primary,YbO0.5F0.5BiS2,5.4,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1810.10822,2018,Evidence for a preformed Cooper pair model in the pseudogap spectra of a Ca10(Pt4As8)(Fe2As2)5 single crystal with a nodal superconducting gap,Ca10(Pt4As8)(Fe2As2)5,34.6,ambient,,primary,Ca10(Pt4As8)(Fe2As2)5,34.6,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1602.08060,2016,High-resolution magnetic penetration depth and inhomogeneities in locally noncentrosymmetric SrPtAs,SrPtAs,,ambient,,primary,SrPtAs,2.45,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0907.4735,2009,Temperature dependence of resistivity and Hall-coefficient in a strongly disordered metal: NbN,NbN,8.13,ambient,,primary,NbN,8.13,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:0907.4735,2009,Temperature dependence of resistivity and Hall-coefficient in a strongly disordered metal: NbN,NbN,16.8,ambient,,primary,NbN,8.13,unknown,,primary,1.0,True,-8.67,True,False,pressure class disagreement
arxiv:0907.4735,2009,Temperature dependence of resistivity and Hall-coefficient in a strongly disordered metal: NbN,Be,,ambient,,primary,NbN,8.13,unknown,,primary,0.4,False,,False,False,formula similarity 0.40 below threshold; tc disagreement; pressure class disagreement
arxiv:1904.03951,2019,"YBa2Cu3O7/LaXMnO3 (X: Ca, Sr) based Superconductor/Ferromagnet/Superconductor junctions with memory functionality",YBa2Cu3O7,,ambient,,primary,YBa2Cu3O7,90.0,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1409.3982,2014,Coexistence of 3d-ferromagnetism and superconductivity in [(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,[(Li(1-x)Fex)OH](Fe(1-y)Liy)Se,43.0,ambient,,primary,(Li1-xFex)OH(Fe1-yLiy)Se,43.0,unknown,,primary,0.8889,True,0.0,True,False,pressure class disagreement
arxiv:1402.4472,2014,Validity of Kohler's rule in the pseudogap phase of the cuprate superconductors,HgBa2CuO4+d,,ambient,,primary,HgBa2CuO4+δ,70.0,unknown,,primary,0.9091,True,,False,False,tc disagreement; pressure class disagreement
arxiv:cond-mat/0207285,2002,Heavy quasiparticles in the ferromagnetic superconductor ZrZn2,ZrZn2,,ambient,,primary,ZrZn2,0.6,ambient,0.0,,1.0,True,,False,True,tc disagreement
arxiv:1810.03134,2018,Thermal properties of NbN single-photon detectors,NbN,,ambient,,primary,NbN,7.84,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0902.0314,2009,Stray-fields based features observed for low and high magnetic fields in Ni$_{80}$Fe$_{20}$-Nb-Ni$_{80}$Fe$_{20}$ trilayers,Nb,,ambient,,primary,Nb,7.4,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0902.0314,2009,Stray-fields based features observed for low and high magnetic fields in Ni$_{80}$Fe$_{20}$-Nb-Ni$_{80}$Fe$_{20}$ trilayers,Ni80Fe20,,ambient,,primary,Nb,7.4,unknown,,primary,0.2,False,,False,False,formula similarity 0.20 below threshold; tc disagreement; pressure class disagreement
arxiv:0806.1412,2008,Hydration-induced anisotropic spin fluctuations in Na_{x}CoO_{2}\cdot1.3H_{2}O superconductor,Na0.42CoO2·1.3H2O,4.25,ambient,,primary,Na0.42CoO2·1.3H2O,4.25,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:cond-mat/0001379,2000,Antiferromagnetic Alignment and Relaxation Rate of Gd Spins in the High Temperature Superconductor GdBa_2Cu_3O_(7-delta),GdBa2Cu3O7-delta,,ambient,,primary,GdBa2Cu3O7-δ,93.0,ambient,0.0,,0.7857,False,,False,True,formula similarity 0.79 below threshold; tc disagreement
arxiv:0909.4985,2009,Hall effect in superconducting Fe(Se0.5Te0.5) thin films,Fe(Se0.5Te0.5),,ambient,,primary,Fe(Se0.5Te0.5),9.0,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:0903.3515,2009,"Inverse Iron Isotope Effect on the transition temperature of the (Ba,K)Fe2As2 superconductor","(Ba,K)Fe2As2",38.0,ambient,,primary,"(Ba,K)Fe2As2",38.0,unknown,,primary,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1205.5731,2012,Superconductivity at Tc = 44 K in LixFe2Se2(NH3)y,LixFe2Se2(NH3)y,44.0,ambient,,primary,Li0.5Fe2Se2(NH3)0.6,44.0,ambient,0.0,primary,0.7647,False,0.0,True,True,formula similarity 0.76 below threshold
arxiv:1205.5731,2012,Superconductivity at Tc = 44 K in LixFe2Se2(NH3)y,A1-xFe2-ySe2,32.0,ambient,,cited,A1-xFe2-ySe2,32.0,unknown,,cited,1.0,True,0.0,True,False,pressure class disagreement
arxiv:1003.3936,2010,Flux pinning in (1111) iron-pnictide superconducting crystals,PrFeAsO1-y,,ambient,,primary,PrFeAsO1-y,38.0,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1003.3936,2010,Flux pinning in (1111) iron-pnictide superconducting crystals,"NdFeAs(O,F)",,ambient,,primary,NdFeAsO0.9F0.1,34.5,unknown,,cited,0.64,False,,False,False,formula similarity 0.64 below threshold; tc disagreement; pressure class disagreement
arxiv:cond-mat/0210536,2002,Commensurate spin dynamics in the superconducting state of an electron-doped cuprate superconductor,Nd2-xCexCuO4,18.0,ambient,,primary,Nd2-xCexCuO4,18.0,ambient,0.0,,1.0,True,0.0,True,True,
